country_region,continent,population,total_cases,new_cases,total_deaths,new_deaths,total_recovered,new_recovered,active_cases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,who_region,CFR,mortality_rate_per_million,recovery_rate,active_case_ratio,growth_rate
Sao Tome and Principe,Africa,219544,878,0,15,0,797,0,66,0,3999,68,3079,14025,Africa,1.7084282460136675,68.3234340268921,90.7744874715262,7.517084282460136,0
Botswana,Africa,2356075,804,0,2,0,63,0,739,1,341,0.8,68423,29041,Africa,0.24875621890547264,0.8488694120518235,7.835820895522389,91.91542288557214,0
Bahamas,North America,393616,761,0,14,0,91,0,656,1,1933,36,4814,12230,Americas,1.8396846254927726,35.56765985122556,11.957950065703022,86.2023653088042,0
Vietnam,Asia,97425470,747,0,10,0,392,0,345,0,8,0.1,482456,4952,WesternPacific,1.3386880856760375,0.10264256359245688,52.47657295850067,46.1847389558233,0
Lesotho,Africa,2143943,742,0,23,0,175,0,544,0,346,11,8771,4091,Africa,3.0997304582210243,10.72789715025073,23.58490566037736,73.31536388140162,0
Diamond Princess,NA,NA,712,0,13,0,651,0,48,4,1015,29,NA,32585,NA,1.8258426966292134,NA,91.43258426966293,6.741573033707865,0
San Marino,Europe,33938,699,0,42,0,657,0,0,0,20596,1238,6068,178797,Europe,6.008583690987124,1237.5508279804349,93.99141630901288,0,0
Réunion,Africa,895952,671,0,5,0,592,0,74,3,749,6,35419,39532,NA,0.7451564828614009,5.5806561065771385,88.22652757078987,11.028315946348734,0
Channel Islands,Europe,174022,597,0,47,0,533,0,17,0,3431,270,30721,176535,NA,7.872696817420436,270.0807943823195,89.27973199329983,2.8475711892797317,0
Guyana,South America,786936,538,0,22,0,189,0,327,2,684,28,5165,6563,Americas,4.089219330855019,27.956530137139488,35.130111524163574,60.78066914498142,0
Tanzania,Africa,59886383,509,0,21,0,183,0,305,7,8,0.4,NA,32585,Africa,4.12573673870334,0.3506640232388054,35.952848722986246,59.921414538310415,0
Taiwan,Asia,23821199,477,0,7,0,443,0,27,0,20,0.3,82737,3473,WesternPacific,1.4675052410901468,0.293855905405937,92.87211740041928,5.660377358490567,0
Comoros,Africa,871326,396,0,7,0,340,0,49,0,454,8,NA,32585,Africa,1.7676767676767675,8.033732495070732,85.85858585858585,12.373737373737374,0
Burundi,Africa,11922216,395,0,1,0,304,0,90,0,33,0.08,15614,1310,Africa,0.25316455696202533,0.08387702420422512,76.9620253164557,22.78481012658228,0
Myanmar,Asia,54446389,357,0,6,0,308,0,43,0,7,0.1,122290,2246,South-EastAsia,1.680672268907563,0.11020014568826594,86.27450980392157,12.044817927170868,0
Mauritius,Africa,1271985,344,0,10,0,334,0,0,0,270,8,205285,161389,Africa,2.9069767441860463,7.861727929181555,97.09302325581395,0,0
Isle of Man,Europe,85078,336,0,24,0,312,0,0,0,3949,282,8627,101401,NA,7.142857142857142,282.0940783751381,92.85714285714286,0,0
Mongolia,Asia,3283344,293,0,NA,0,260,0,33,1,89,29,38334,11675,WesternPacific,NA,NA,88.73720136518772,11.262798634812286,0
Eritrea,Africa,3551175,282,0,NA,0,225,0,57,0,79,29,NA,32585,Africa,NA,NA,79.7872340425532,20.212765957446805,0
Guadeloupe,North America,400131,279,0,14,0,179,0,86,0,697,35,18476,46175,NA,5.017921146953405,34.98854125273973,64.15770609318996,30.824372759856633,0
Martinique,North America,375235,276,0,15,0,98,0,163,1,736,40,12227,32585,NA,5.434782608695652,39.974949031939985,35.507246376811594,59.05797101449275,0
Faeroe Islands,Europe,48882,266,0,NA,0,192,0,74,1,5442,29,43045,880590,NA,NA,NA,72.18045112781954,27.819548872180448,0
Aruba,North America,106812,263,0,3,0,114,0,146,0,2462,28,14047,131511,NA,1.1406844106463878,28.08673182788451,43.346007604562736,55.51330798479087,0
Cambodia,Asia,16741375,243,0,NA,0,210,0,33,1,15,29,67807,4050,WesternPacific,NA,NA,86.41975308641975,13.580246913580247,0
Trinidad and Tobago,North America,1399950,210,0,8,0,135,0,67,0,150,6,9559,6828,Americas,3.8095238095238098,5.7144898032072575,64.28571428571429,31.9047619047619,0
Cayman Islands,North America,65798,203,0,1,0,202,0,0,0,3085,15,31108,472780,NA,0.49261083743842365,15.198030335268548,99.50738916256158,0,0
Gibraltar,Europe,33690,190,0,NA,0,184,0,6,0,5640,29,23063,684565,NA,NA,NA,96.84210526315789,3.1578947368421053,0
Papua New Guinea,Australia/Oceania,8963009,163,0,3,0,53,0,107,0,18,0.3,10808,1206,WesternPacific,1.8404907975460123,0.3347090246143901,32.515337423312886,65.6441717791411,0
Sint Maarten,North America,42924,160,0,16,0,64,0,80,3,3728,373,1115,25976,NA,10,372.75184046221233,40,50,0
Bermuda,North America,62254,157,0,9,0,144,0,4,0,2522,145,26352,423298,Americas,5.7324840764331215,144.56902367719346,91.71974522292994,2.547770700636943,0
Brunei,Asia,437893,141,0,3,0,138,0,0,0,322,7,41148,93968,NA,2.127659574468085,6.850988711854266,97.87234042553192,0,0
Barbados,North America,287411,133,0,7,0,100,0,26,0,463,24,12233,42563,Americas,5.263157894736842,24.35536566102202,75.18796992481202,19.548872180451127,0
Turks and Caicos,North America,38768,129,0,2,0,39,0,88,3,3327,52,1252,32295,NA,1.550387596899225,51.58893933140735,30.23255813953488,68.21705426356588,0
Seychelles,Africa,98408,126,0,NA,0,124,0,2,0,1280,29,NA,32585,Africa,NA,NA,98.4126984126984,1.5873015873015872,0
Monaco,Europe,39270,125,0,4,0,105,0,16,2,3183,102,38209,972982,Europe,3.2,101.85892538833716,84,12.8,0
Bhutan,Asia,772443,105,0,NA,0,93,0,12,0,136,29,54589,70671,South-EastAsia,NA,NA,88.57142857142857,11.428571428571429,0
Antigua and Barbuda,North America,98010,92,0,3,0,76,0,13,1,939,31,1500,15305,Americas,3.260869565217391,30.60912151821243,82.6086956521739,14.130434782608695,0
Liechtenstein,Europe,38139,89,0,1,0,85,0,3,0,2334,26,900,23598,Europe,1.1235955056179776,26.21987991295,95.50561797752809,3.3707865168539324,0
