country_region,continent,population,total_cases,new_cases,total_deaths,new_deaths,total_recovered,new_recovered,active_cases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,who_region,CFR,mortality_rate_per_million,recovery_rate,active_case_ratio,growth_rate
Belize,North America,398312,86,0,2,0,31,0,53,2,216,5,3679,9236,Americas,2.3255813953488373,5.021189419349655,36.04651162790697,61.627906976744185,0
French Polynesia,Australia/Oceania,281072,64,0,NA,0,62,0,2,0,228,29,5849,20810,NA,NA,NA,96.875,3.125,0
St. Vincent Grenadines,North America,110976,56,0,NA,0,46,0,10,0,505,29,2447,22050,NA,NA,NA,82.14285714285714,17.857142857142858,0
Saint Martin,North America,38729,53,0,3,0,41,0,9,1,1368,77,1183,30546,NA,5.660377358490567,77.46133388416948,77.35849056603774,16.9811320754717,0
Macao,Asia,650193,46,0,NA,0,46,0,0,0,71,29,4071,6261,NA,NA,NA,100,0,0
Curaçao,North America,164161,31,0,1,0,28,0,2,0,189,6,1080,6579,NA,3.225806451612903,6.091580826140191,90.32258064516128,6.451612903225806,0
Fiji,Australia/Oceania,897095,27,0,1,0,18,0,8,0,30,1,6693,7461,WesternPacific,3.7037037037037033,1.1147091445164672,66.66666666666666,29.629629629629626,0
Saint Lucia,North America,183712,25,0,NA,0,24,0,1,0,136,29,3895,21202,Americas,NA,NA,96,4,0
Timor-Leste,Asia,1320812,25,0,NA,0,24,0,1,0,19,29,4238,3209,South-EastAsia,NA,NA,96,4,0
Grenada,North America,112576,24,0,NA,0,23,0,1,0,213,29,6252,55536,Americas,NA,NA,95.83333333333334,4.166666666666666,0
New Caledonia,Australia/Oceania,285769,22,0,NA,0,22,0,0,0,77,29,11099,38839,NA,NA,NA,100,0,0
Laos,Asia,7285750,20,0,NA,0,19,0,1,0,3,29,29374,4032,WesternPacific,NA,NA,95,5,0
Dominica,North America,72004,18,0,NA,0,18,0,0,0,250,29,1005,13958,Americas,NA,NA,100,0,0
Saint Kitts and Nevis,North America,53237,17,0,NA,0,16,0,1,0,319,29,1146,21526,Americas,NA,NA,94.11764705882352,5.88235294117647,0
Greenland,North America,56780,14,0,NA,0,14,0,0,0,247,29,5977,105266,Europe,NA,NA,100,0,0
Montserrat,North America,4992,13,0,1,0,10,0,2,0,2604,200,61,12220,NA,7.6923076923076925,200.32051282051282,76.92307692307693,15.384615384615385,0
Caribbean Netherlands,North America,26247,13,0,NA,0,7,0,6,0,495,29,424,16154,NA,NA,NA,53.84615384615385,46.15384615384615,0
Falkland Islands,South America,3489,13,0,NA,0,13,0,0,0,3726,29,1816,520493,NA,NA,NA,100,0,0
Vatican City,Europe,801,12,0,NA,0,12,0,0,0,14981,29,NA,32585,Europe,NA,NA,100,0,0
Western Sahara,Africa,598682,10,0,1,0,8,0,1,0,17,2,NA,32585,Africa,10,1.670335837723533,80,10,0
